,Tipos de escalamiento,Tipo de regresión,Learning,eta0,Iteraciones,mse,r2
0,none,1,constant,0.0001,200000,4.444000647468447e+30,-3.4235407018720526e+20
1,none,1,constant,0.0001,300000,2.775623092649259e+30,-2.1527206153878435e+20
2,none,1,constant,1e-05,200000,1.1066268581458157e+28,-8.278950085992466e+17
3,none,1,constant,1e-05,300000,1.6288041234172722e+28,-1.2399773113836467e+18
4,none,1,constant,1e-06,200000,1.5376645614837209e+26,-1.1355046127689652e+16
5,none,1,constant,1e-06,300000,4.2099223432013296e+25,-3093540243860569.5
6,none,2,constant,0.0001,200000,1.5677443312707183e+47,-1.1617236975787499e+37
7,none,2,constant,0.0001,300000,8.474546733280282e+47,-6.264564355256192e+37
8,none,2,constant,1e-05,200000,5.964570978965764e+45,-4.488144129875848e+35
9,none,2,constant,1e-05,300000,1.1486638855114217e+46,-8.492126432493094e+35
10,none,2,constant,1e-06,200000,1.1273195229924042e+43,-8.443799009753789e+32
11,none,2,constant,1e-06,300000,4.663875749052211e+43,-3.508347628615736e+33
12,none,3,constant,0.0001,200000,8.402092569969808e+65,-6.296862603117236e+55
13,none,3,constant,0.0001,300000,5.464824095510735e+65,-4.232931058044883e+55
14,none,3,constant,1e-05,200000,4.265705349862294e+62,-3.2016632576015836e+52
15,none,3,constant,1e-05,300000,1.964217027111775e+64,-1.4983295271947694e+54
16,none,3,constant,1e-06,200000,6.485626866174366e+61,-4.746318755962151e+51
17,none,3,constant,1e-06,300000,3.867105627045608e+61,-2.8910035133088417e+51
18,std,1,constant,0.0001,200000,4825247656.406601,0.639175904274148
19,std,1,constant,0.0001,300000,4825939763.924493,0.6391215035470343
20,std,1,constant,1e-05,200000,4822001991.059626,0.6394174498829874
21,std,1,constant,1e-05,300000,4822347632.256424,0.6393908611078183
22,std,1,constant,1e-06,200000,4820943725.272807,0.6394964278472761
23,std,1,constant,1e-06,300000,4820806369.248254,0.6395061271377535
24,std,2,constant,0.0001,200000,4432607416.852934,0.6685705444783345
25,std,2,constant,0.0001,300000,4417605114.173987,0.6696468927298029
26,std,2,constant,1e-05,200000,4429023100.71525,0.6688475189735213
27,std,2,constant,1e-05,300000,4435616784.668919,0.6683400725665394
28,std,2,constant,1e-06,200000,4415692421.77568,0.6698452821368561
29,std,2,constant,1e-06,300000,4415991824.387764,0.6698187708737342
30,std,3,constant,0.0001,200000,3.992310969889579e+19,-3002475207.195965
31,std,3,constant,0.0001,300000,3.3034653240805745e+19,-2439605487.9835033
32,std,3,constant,1e-05,200000,4255913507.0420685,0.6816553946453434
33,std,3,constant,1e-05,300000,4256485400.4629517,0.6815860070957197
34,std,3,constant,1e-06,200000,4256838985.8115783,0.6816071044360343
35,std,3,constant,1e-06,300000,4248469796.3487825,0.6822577300975834
36,robust,1,constant,0.0001,200000,4902989171.164394,0.6332503166855562
37,robust,1,constant,0.0001,300000,4915253139.186118,0.6323411017505116
38,robust,1,constant,1e-05,200000,4899961909.994475,0.6334822751789315
39,robust,1,constant,1e-05,300000,4898162975.231,0.6336202176948703
40,robust,1,constant,1e-06,200000,4890120847.766725,0.6342161452989694
41,robust,1,constant,1e-06,300000,4890308585.173952,0.6342017394828489
42,robust,2,constant,0.0001,200000,6.535876856709644e+18,-473450843.59172136
43,robust,2,constant,0.0001,300000,2.745681232914263e+21,-206618913878.28174
44,robust,2,constant,1e-05,200000,5252370377.94635,0.6061951657551717
45,robust,2,constant,1e-05,300000,5355734755.155642,0.5983810735243862
46,robust,2,constant,1e-06,200000,5052229422.4943695,0.6209758327812562
47,robust,2,constant,1e-06,300000,5046180195.686652,0.6213799145548935
48,robust,3,constant,0.0001,200000,4.1412805974671003e+27,-3.0846743791342925e+17
49,robust,3,constant,0.0001,300000,1.3197708744660076e+26,-1.036964017427258e+16
50,robust,3,constant,1e-05,200000,1.201053846268438e+25,-904057719759171.2
51,robust,3,constant,1e-05,300000,1.1542908197744944e+25,-871556025460225.9
52,robust,3,constant,1e-06,200000,1.0166002786367305e+22,-756093715712.1061
53,robust,3,constant,1e-06,300000,9.031668516558473e+22,-6680298490849.406
